window,start,end,drift,drift_p_value,drift_statistic,trusted,trusted_ratio,oracle_used,mean_confidence,mean_recon_error,memory_total,window_accuracy,window_precision,window_recall,window_f1,window_false_positive_rate,window_false_negative_rate,window_tn,window_fp,window_fn,window_tp
10.0,20000.0,22000.0,1.0,2.9906888758741096e-06,0.0684,1950.0,0.975,0.0,0.9889953136444092,0.006858380511403084,4096.0,0.9755,0.9867549668874173,0.9602577873254565,0.9733260751224824,0.011225444340505144,0.0397422126745435,1057.0,12.0,37.0,894.0
11.0,22000.0,24000.0,1.0,7.950865962837974e-07,0.0717,1961.0,0.9805,0.0,0.9904746413230896,0.006827376317232847,4096.0,0.979,0.9888888888888889,0.96529284164859,0.9769484083424808,0.00927643784786642,0.03470715835140998,1068.0,10.0,32.0,890.0
12.0,24000.0,26000.0,1.0,1.5232371373726066e-06,0.0701,1957.0,0.9785,0.0,0.9905727505683899,0.006624447647482157,4096.0,0.9835,0.9945828819068255,0.9704016913319239,0.9823434991974317,0.004743833017077799,0.02959830866807611,1049.0,5.0,28.0,918.0
13.0,26000.0,28000.0,1.0,4.819201768551397e-09,0.0832,1958.0,0.979,0.0,0.9908143281936646,0.006615544203668833,4096.0,0.979,0.9925531914893617,0.9638429752066116,0.9779874213836478,0.006782945736434108,0.03615702479338843,1025.0,7.0,35.0,933.0
14.0,28000.0,30000.0,1.0,1.633829732525494e-08,0.0806,1953.0,0.9765,0.0,0.9908875823020935,0.006930315401405096,4096.0,0.9805,0.9857456140350878,0.9718918918918918,0.9787697332607512,0.012093023255813953,0.02810810810810811,1062.0,13.0,26.0,899.0
15.0,30000.0,32000.0,1.0,0.00011310977035379393,0.0584,1959.0,0.9795,0.0,0.9917898178100586,0.006684562657028437,4096.0,0.9795,0.9953810623556582,0.9588431590656284,0.976770538243626,0.0036330608537693005,0.041156840934371525,1097.0,4.0,37.0,862.0
16.0,32000.0,34000.0,1.0,1.732658664262424e-10,0.0899,1954.0,0.977,0.0,0.9900007247924805,0.006918179802596569,4096.0,0.977,0.9890590809628009,0.9617021276595744,0.9751887810140237,0.009433962264150943,0.03829787234042553,1050.0,10.0,36.0,904.0
17.0,34000.0,36000.0,1.0,0.0006733349372379688,0.0528,1963.0,0.9815,0.0,0.9914590716362,0.006658624857664108,4096.0,0.9765,0.9916579770594369,0.9606060606060606,0.9758850692662905,0.007920792079207921,0.03939393939393939,1002.0,8.0,39.0,951.0
18.0,36000.0,38000.0,1.0,1.3672433267319648e-09,0.0858,1968.0,0.984,0.0,0.9914543628692627,0.006648925133049488,4096.0,0.969,0.9869138495092693,0.9476439790575916,0.9668803418803419,0.011483253588516746,0.05235602094240838,1033.0,12.0,50.0,905.0
19.0,38000.0,40000.0,1.0,1.9712835986286334e-13,0.1022,1964.0,0.982,0.0,0.9917096495628357,0.006832808721810579,4096.0,0.9795,0.9967637540453075,0.9604989604989606,0.9782953943885654,0.002890173410404624,0.0395010395010395,1035.0,3.0,38.0,924.0
20.0,40000.0,42000.0,1.0,5.002193493299975e-13,0.1006,1962.0,0.981,0.0,0.9912025332450867,0.006731125060468912,4096.0,0.9795,0.9922394678492239,0.9634015069967707,0.977607864554888,0.006535947712418301,0.03659849300322928,1064.0,7.0,34.0,895.0
21.0,42000.0,44000.0,1.0,8.116441391843824e-09,0.0821,1958.0,0.979,0.0,0.9909695982933044,0.006881632376462221,4096.0,0.98,0.9923161361141603,0.9647812166488794,0.9783549783549783,0.00658513640639699,0.035218783351120594,1056.0,7.0,33.0,904.0
22.0,44000.0,46000.0,1.0,1.9712835986286334e-13,0.1022,1961.0,0.9805,0.0,0.9897502660751343,0.006691092625260353,4096.0,0.9785,0.9933993399339934,0.9606382978723405,0.9767441860465116,0.005660377358490566,0.039361702127659576,1054.0,6.0,37.0,903.0
23.0,46000.0,48000.0,1.0,2.2298742658489207e-09,0.0848,1956.0,0.978,0.0,0.9888121485710144,0.006532024592161179,4096.0,0.977,0.9911209766925638,0.9591836734693877,0.9748908296943232,0.007483629560336763,0.04081632653061224,1061.0,8.0,38.0,893.0
24.0,48000.0,50000.0,1.0,2.6079519423686587e-11,0.0935,1962.0,0.981,0.0,0.9881335496902466,0.006966245826333761,4096.0,0.974,0.9878048780487805,0.9560085836909872,0.9716466739367503,0.010299625468164793,0.043991416309012876,1057.0,11.0,41.0,891.0
25.0,50000.0,52000.0,1.0,1.7890285999441497e-11,0.0942,1959.0,0.9795,0.0,0.987970769405365,0.0063362931832671165,4096.0,0.977,0.9921787709497206,0.9579288025889967,0.9747530186608121,0.0065237651444548,0.042071197411003236,1066.0,7.0,39.0,888.0
26.0,52000.0,54000.0,1.0,3.062481358929881e-11,0.0932,1963.0,0.9815,0.0,0.9874422550201416,0.006705898325890303,4096.0,0.9755,0.9869138495092693,0.9607218683651805,0.9736417428725122,0.011342155009451797,0.03927813163481953,1046.0,12.0,37.0,905.0
27.0,54000.0,56000.0,1.0,1.747332954339181e-09,0.0853,1972.0,0.986,0.0,0.9881999492645264,0.006873956881463528,4096.0,0.976,0.9945828819068255,0.9552549427679501,0.9745222929936306,0.004812319538017324,0.044745057232049947,1034.0,5.0,43.0,918.0
28.0,56000.0,58000.0,1.0,2.124658354313586e-05,0.0632,1966.0,0.983,0.0,0.9872824549674988,0.006726045627146959,4096.0,0.977,0.9922992299229924,0.9585547290116897,0.9751351351351352,0.0066100094428706326,0.04144527098831031,1052.0,7.0,39.0,902.0
29.0,58000.0,60000.0,1.0,3.0432797770358405e-07,0.074,1970.0,0.985,0.0,0.9880167841911316,0.006737166550010443,4096.0,0.979,0.9922566371681416,0.9624463519313304,0.9771241830065359,0.006554307116104869,0.03755364806866953,1061.0,7.0,35.0,897.0
30.0,60000.0,62000.0,1.0,5.5712837762914636e-08,0.0779,1964.0,0.982,0.0,0.9858788847923279,0.006787204183638096,4096.0,0.979,0.9886877828054299,0.9646799116997793,0.9765363128491621,0.009140767824497258,0.03532008830022075,1084.0,10.0,32.0,874.0
31.0,62000.0,64000.0,1.0,3.6427344449356795e-12,0.0971,1957.0,0.9785,0.0,0.9838307499885559,0.006673894356936216,4096.0,0.9755,0.9920724801812004,0.954248366013072,0.9727928928373126,0.006469500924214418,0.0457516339869281,1075.0,7.0,42.0,876.0
32.0,64000.0,66000.0,1.0,1.711051078693852e-08,0.0805,1960.0,0.98,0.0,0.9839207530021667,0.006659191567450762,4096.0,0.9755,0.9910414333706606,0.9557235421166307,0.9730621220450797,0.0074487895716946,0.04427645788336933,1066.0,8.0,41.0,885.0
33.0,66000.0,68000.0,1.0,2.4599543641299195e-07,0.0745,1958.0,0.979,0.0,0.9836042523384094,0.006562902592122555,4096.0,0.979,0.9886234357224118,0.9644839067702553,0.9764044943820224,0.009099181073703366,0.03551609322974473,1089.0,10.0,32.0,869.0
34.0,68000.0,70000.0,1.0,3.9981802500562164e-11,0.0927,1964.0,0.982,0.0,0.9837270379066467,0.006565637420862913,4096.0,0.9785,0.9922394678492239,0.9613319011815252,0.9765411893071467,0.006548175865294668,0.03866809881847476,1062.0,7.0,36.0,895.0
35.0,70000.0,72000.0,1.0,8.439533678072427e-06,0.0657,1950.0,0.975,0.0,0.9811298847198486,0.006547638680785894,4096.0,0.9805,0.9953106682297772,0.9604072398190046,0.9775474956822106,0.0035842293906810036,0.03959276018099547,1112.0,4.0,35.0,849.0
36.0,72000.0,74000.0,1.0,0.00833175602236035,0.0437,1949.0,0.9745,0.0,0.9812979698181152,0.006668573245406151,4096.0,0.9765,0.9877913429522752,0.9611231101511879,0.9742747673782157,0.010242085661080074,0.038876889848812095,1063.0,11.0,36.0,890.0
37.0,74000.0,76000.0,1.0,2.7067658191944996e-08,0.0795,1970.0,0.985,0.0,0.9816926121711731,0.006729795131832361,4096.0,0.973,0.9904534606205251,0.9474885844748858,0.9684947491248541,0.0071174377224199285,0.05251141552511415,1116.0,8.0,46.0,830.0
38.0,76000.0,78000.0,1.0,5.954930012402675e-07,0.0724,1969.0,0.9845,0.0,0.9813413023948669,0.006390380673110485,4096.0,0.984,0.9944567627494457,0.9707792207792207,0.982475355969332,0.004646840148698885,0.02922077922077922,1071.0,5.0,27.0,897.0
39.0,78000.0,80000.0,1.0,5.301050944255336e-09,0.083,1960.0,0.98,0.0,0.9782767295837402,0.007027292624115944,4096.0,0.9775,0.9922222222222222,0.9591836734693877,0.9754232659748769,0.006548175865294668,0.04081632653061224,1062.0,7.0,38.0,893.0
40.0,80000.0,82000.0,1.0,7.743007230673797e-09,0.0822,1954.0,0.977,0.0,0.9782103300094604,0.006647955160588026,4096.0,0.9775,0.9839228295819936,0.9683544303797469,0.9760765550239234,0.014258555133079848,0.03164556962025317,1037.0,15.0,30.0,918.0
41.0,82000.0,84000.0,1.0,0.00010938456997654004,0.0585,1970.0,0.985,0.0,0.9784601926803589,0.006529197562485933,4096.0,0.9795,0.9909502262443439,0.9636963696369637,0.977133296151701,0.007332722273143905,0.036303630363036306,1083.0,8.0,33.0,876.0
42.0,84000.0,86000.0,1.0,3.980168076536738e-09,0.0836,1955.0,0.9775,0.0,0.976218044757843,0.007001078687608242,4096.0,0.9785,0.9933333333333333,0.9602577873254565,0.9765155652648825,0.005612722170252572,0.0397422126745435,1063.0,6.0,37.0,894.0
43.0,86000.0,88000.0,1.0,1.3499346586037068e-06,0.0704,1948.0,0.974,0.0,0.9759616255760193,0.006818001624196768,4096.0,0.976,0.9922308546059934,0.9561497326203209,0.9738562091503268,0.006572769953051643,0.04385026737967915,1058.0,7.0,41.0,894.0
44.0,88000.0,90000.0,1.0,0.0016261438118744546,0.0498,1951.0,0.9755,0.0,0.9753382205963135,0.006809341721236706,4096.0,0.975,0.9899777282850779,0.9559139784946237,0.9726477024070023,0.008411214953271028,0.04408602150537634,1061.0,9.0,41.0,889.0
45.0,90000.0,92000.0,1.0,0.00036349899644728923,0.0548,1961.0,0.9805,0.0,0.9747739434242249,0.006496651563793421,4096.0,0.9775,0.9896432681242808,0.9598214285714286,0.9745042492917847,0.008152173913043478,0.04017857142857143,1095.0,9.0,36.0,860.0
46.0,92000.0,94000.0,1.0,4.819201768551397e-09,0.0832,1958.0,0.979,0.0,0.9735539555549622,0.006614192854613066,4096.0,0.975,0.989247311827957,0.9583333333333334,0.9735449735449735,0.009615384615384616,0.041666666666666664,1030.0,10.0,40.0,920.0
47.0,94000.0,96000.0,1.0,5.041872586321669e-07,0.0728,1962.0,0.981,0.0,0.9737014174461365,0.006961667910218239,4096.0,0.9835,0.9967532467532467,0.9684542586750788,0.9823999999999999,0.002859866539561487,0.031545741324921134,1046.0,3.0,30.0,921.0
48.0,96000.0,98000.0,1.0,2.367875734715224e-05,0.0629,1949.0,0.9745,0.0,0.9718934297561646,0.006533753592520952,4096.0,0.98,0.9913513513513513,0.9662802950474183,0.9786552828175026,0.007611798287345386,0.03371970495258166,1043.0,8.0,32.0,917.0
49.0,98000.0,100000.0,1.0,0.0001683009106242306,0.0572,1956.0,0.978,0.0,0.971768319606781,0.0064731077291071415,4096.0,0.978,0.9935205183585313,0.9603340292275574,0.9766454352441614,0.005758157389635317,0.03966597077244259,1036.0,6.0,38.0,920.0
50.0,100000.0,102000.0,1.0,1.3499346586037068e-06,0.0704,1955.0,0.9775,0.0,0.9710407853126526,0.006645423360168934,4096.0,0.978,0.9919168591224018,0.9587053571428571,0.9750283768444948,0.006340579710144928,0.041294642857142856,1097.0,7.0,37.0,859.0
51.0,102000.0,104000.0,1.0,4.3336326185577375e-05,0.0612,1960.0,0.98,0.0,0.9716880917549133,0.006636710371822119,4096.0,0.9815,0.9908466819221968,0.9675977653631285,0.9790842283776146,0.007239819004524887,0.03240223463687151,1097.0,8.0,29.0,866.0
52.0,104000.0,106000.0,1.0,8.936526442259132e-05,0.0591,1955.0,0.9775,0.0,0.9702897667884827,0.006973560433834791,4096.0,0.9785,0.9899665551839465,0.9631236442516269,0.9763606377130292,0.008348794063079777,0.0368763557483731,1069.0,9.0,34.0,888.0
53.0,106000.0,108000.0,1.0,0.00013811521121095296,0.0578,1963.0,0.9815,0.0,0.9695404767990112,0.006533569190651178,4096.0,0.981,0.9955801104972376,0.9636363636363636,0.9793478260869565,0.003755868544600939,0.03636363636363636,1061.0,4.0,34.0,901.0
54.0,108000.0,110000.0,1.0,1.19573097613529e-06,0.0707,1950.0,0.975,0.0,0.9668942093849182,0.006423598155379295,4096.0,0.9715,0.9872476089266737,0.9537987679671458,0.9702349869451697,0.011695906432748537,0.04620123203285421,1014.0,12.0,45.0,929.0
55.0,110000.0,112000.0,1.0,1.6003882550488065e-07,0.0755,1953.0,0.9765,0.0,0.9667421579360962,0.00637040426954627,4096.0,0.979,0.9920273348519362,0.9613686534216336,0.9764573991031391,0.006398537477148081,0.03863134657836645,1087.0,7.0,35.0,871.0
56.0,112000.0,113376.0,1.0,0.006097619632255211,0.05162093023255814,1345.0,0.9774709302325582,0.0,0.9667131900787354,0.00635993666946888,4096.0,0.9760174418604651,0.9901477832512315,0.9571428571428572,0.9733656174334142,0.00804289544235925,0.04285714285714286,740.0,6.0,27.0,603.0
